,Player,Pos,Tackles,TacklesWon,TacklesDef1/3,TacklesMid1/3,TacklesAtt1/3,Blocks,ShotsBlocked,PassesBlocked,Interceptions,Tkl+Int,Clearances,ErrorsToShot,Season
0,William Saliba,DF,1.0,0.61,0.67,0.31,0.03,0.83,0.44,0.39,0.81,1.81,2.08,0.08,2024
1,Ben White,DF,1.46,0.86,0.57,0.7,0.19,1.34,0.64,0.7,0.92,2.39,2.42,0.03,2024
2,Gabriel Magalhães,DF,1.43,0.81,0.71,0.68,0.03,1.24,0.93,0.31,0.93,2.36,3.04,0.03,2024
3,Oleksandr Zinchenko,DF,2.66,1.6,1.01,1.28,0.37,0.96,0.16,0.8,1.06,3.72,1.38,0.11,2024
4,Jakub Kiwior,DF,1.9,1.14,1.05,0.76,0.1,1.05,0.29,0.76,0.76,2.67,2.67,0.1,2024
5,Takehiro Tomiyasu,DF,1.57,0.74,1.2,0.28,0.09,0.74,0.37,0.37,1.48,3.06,2.69,0.0,2024
6,Thomas Partey,"MF,DF",1.71,1.43,1.14,0.43,0.14,0.86,0.43,0.43,1.43,3.14,0.86,0.0,2024
7,Jurriën Timber,DF,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2024
8,Cédric Soares,DF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
9,Gabriel Magalhães,DF,1.27,0.79,0.77,0.4,0.11,1.29,0.69,0.61,0.84,2.11,3.3,0.08,2023
10,Ben White,DF,1.77,0.91,0.68,0.88,0.21,1.39,0.32,1.06,0.65,2.42,2.33,0.03,2023
11,William Saliba,DF,1.27,0.75,0.86,0.34,0.07,0.49,0.37,0.11,0.71,1.98,3.17,0.15,2023
12,Oleksandr Zinchenko,DF,1.7,0.77,0.6,0.72,0.38,0.85,0.09,0.77,0.94,2.64,1.62,0.09,2023
13,Kieran Tierney,DF,2.27,1.25,1.02,1.02,0.23,0.91,0.23,0.68,1.25,3.52,2.84,0.0,2023
14,Takehiro Tomiyasu,DF,3.65,2.43,1.62,1.35,0.68,0.95,0.0,0.95,1.89,5.54,2.03,0.14,2023
15,Rob Holding,DF,1.27,0.79,0.63,0.63,0.0,0.95,0.79,0.16,0.48,1.75,4.29,0.16,2023
16,Jakub Kiwior,DF,1.49,1.06,1.28,0.21,0.0,1.06,0.64,0.43,1.28,2.77,2.13,0.0,2023
17,Cédric Soares,DF,0.0,0.0,0.0,0.0,0.0,3.33,0.0,3.33,0.0,0.0,3.33,0.0,2023
