,Player,Pos,PassCmp,PassAtt,PassComp%,PassPrgDist,Assists,xA,KP,IntoFin1/3,PPA,ProgPass,Touches,TakeOnsAtt,TakeOnsSuc%,PrgCar,Carrs1/3,CPA,Season
0,Declan Rice,MF,58.2,65.3,89.0,268.8,0.24,0.13,1.3,6.95,1.07,7.84,75.2,1.3,47.7,2.1,1.86,0.44,2024
1,Martin Ødegaard,MF,49.7,58.7,84.7,232.5,0.25,0.32,2.9,4.69,3.7,10.0,68.1,2.38,45.5,2.62,2.41,0.99,2024
2,Kai Havertz,"MF,FW",26.8,33.2,80.8,85.0,0.22,0.14,1.58,2.34,1.03,3.55,44.3,1.5,39.0,1.87,1.25,0.77,2024
3,Leandro Trossard,"FW,MF",27.4,37.5,73.0,107.2,0.06,0.14,1.32,1.5,1.62,4.25,50.7,2.75,54.3,3.71,2.16,1.5,2024
4,Jorginho,MF,68.3,76.8,89.0,335.5,0.2,0.21,0.98,7.94,2.45,9.9,85.2,0.49,40.0,0.78,1.08,0.0,2024
5,Thomas Partey,"MF,DF",65.0,73.1,88.9,302.9,0.0,0.07,0.86,6.86,1.71,8.0,81.3,1.86,69.2,1.86,2.14,0.14,2024
6,Emile Smith Rowe,MF,47.0,53.5,87.9,127.6,0.27,0.11,1.08,3.51,2.97,5.95,63.5,1.89,42.9,2.7,1.62,0.27,2024
7,Fabio Vieira,"MF,FW",37.0,45.5,81.3,127.6,0.61,0.24,1.52,3.64,1.82,4.55,55.8,2.73,22.2,3.64,0.91,1.82,2024
8,Mohamed Elneny,MF,130.0,133.3,97.5,490.0,0.0,0.0,0.0,6.67,0.0,3.33,150.0,0.0,,3.33,0.0,0.0,2024
9,Martin Ødegaard,MF,41.8,52.0,80.3,173.3,0.2,0.23,2.19,3.89,2.62,7.67,60.5,2.39,57.8,2.39,1.73,0.75,2023
10,Granit Xhaka,MF,41.5,49.0,84.7,177.7,0.21,0.12,1.41,4.44,1.2,5.89,56.8,0.84,53.6,1.26,1.14,0.27,2023
11,Thomas Partey,MF,62.7,71.9,87.2,333.6,0.0,0.09,0.94,8.37,0.87,8.37,82.1,1.63,77.8,1.23,1.38,0.11,2023
12,Jorginho,MF,67.5,77.5,87.1,319.1,0.11,0.06,0.53,8.84,1.26,10.4,84.9,1.05,30.0,1.58,1.26,0.0,2023
13,Fabio Vieira,"MF,FW",41.1,50.9,80.7,146.3,0.35,0.25,2.11,4.56,1.23,6.14,62.5,3.16,33.3,1.4,1.4,0.18,2023
14,Albert Sambi Lokonga,MF,60.0,63.6,94.3,245.0,0.0,0.05,0.45,7.73,0.45,5.45,70.0,0.91,50.0,0.0,2.73,0.0,2023
15,Mohamed Elneny,MF,43.8,46.2,95.0,172.3,0.0,0.0,0.0,2.31,1.54,1.54,48.5,0.0,,0.77,0.0,0.0,2023
16,Emile Smith Rowe,"MF,FW",38.9,44.7,87.1,126.3,1.05,0.32,3.16,1.58,2.11,3.68,53.7,2.63,40.0,1.05,0.53,0.0,2023
17,Marquinhos,MF,2.0,3.0,66.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,0.0,0.0,2023
