,Player,Nation,Position,Age,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,Blocks,ShotsBlocked,PassesBlocked,Intercptions,Tkl+Int,Clearances,Errors
0,Antonio Rüdiger,de GER,DF,31-067,27.1,0.77,0.48,0.52,0.11,0.15,0.96,0.7,0.26,0.41,1.18,2.99,0.0
1,Dani Carvajal,es ESP,DF,32-119,22.3,2.06,1.39,1.21,0.67,0.18,1.17,0.36,0.81,0.94,3.0,2.24,0.18
2,Ferland Mendy,fr FRA,DF,28-336,17.1,0.88,0.58,0.7,0.12,0.06,0.58,0.12,0.47,0.76,1.64,1.52,0.06
3,Nacho,es ESP,DF,34-112,17.1,0.88,0.47,0.35,0.41,0.12,1.05,0.58,0.47,0.88,1.75,2.75,0.0
4,David Alaba,at AUT,DF,31-320,12.8,1.02,0.7,0.55,0.39,0.08,0.78,0.55,0.23,1.17,2.19,2.66,0.0
5,Fran Garcia,es ESP,DF,24-269,13.5,1.41,0.96,0.52,0.74,0.15,0.96,0.15,0.81,1.19,2.59,1.78,0.07
6,Lucas Vázquez,es ESP,DF,32-313,13.6,2.28,1.62,1.25,0.96,0.07,1.69,0.29,1.4,0.66,2.94,2.06,0.0
7,Éder Militão,br BRA,DF,26-112,2.8,1.43,1.07,0.36,1.07,0.0,0.36,0.0,0.36,0.0,1.43,2.86,0.36
8,Jules Koundé,fr FRA,DF,25-179,28.2,1.21,0.74,0.78,0.25,0.18,1.06,0.39,0.67,0.85,2.06,2.77,0.14
9,João Cancelo,pt POR,DF,29-348,24.7,2.39,1.66,1.21,0.85,0.32,1.26,0.24,1.01,1.09,3.48,2.15,0.04
10,Ronald Araújo,uy URU,DF,25-063,21.9,1.23,1.0,0.5,0.68,0.05,0.91,0.5,0.41,0.55,1.78,3.01,0.09
11,Alejandro Balde,es ESP,DF,20-204,15.3,1.31,0.72,0.72,0.39,0.2,0.92,0.07,0.85,0.33,1.63,1.37,0.07
12,Pau Cubarsí,es ESP,DF,17-108,13.6,1.4,0.88,1.1,0.22,0.07,1.18,1.03,0.15,0.74,2.13,3.9,0.0
13,Iñigo Martínez,es ESP,DF,32-358,10.4,0.87,0.67,0.77,0.1,0.0,1.06,0.96,0.1,0.77,1.63,3.85,0.0
14,Marcos Alonso,es ESP,DF,33-133,2.8,1.79,1.07,0.71,1.07,0.0,0.71,0.0,0.71,1.43,3.21,2.14,0.0
15,Héctor Fort,es ESP,DF,17-281,2.7,1.85,1.48,1.48,0.37,0.0,0.0,0.0,0.0,0.74,2.59,1.48,0.0
16,Eric García,es ESP,DF,23-121,0.6,0.0,0.0,0.0,0.0,0.0,1.67,1.67,0.0,0.0,0.0,0.0,0.0
17,Miguel Gutiérrez,es ESP,DF,22-287,31.5,0.89,0.54,0.35,0.41,0.13,0.83,0.35,0.48,0.7,1.59,2.0,0.06
18,Daley Blind,nl NED,DF,34-061,29.0,1.28,0.55,0.86,0.38,0.03,1.21,0.59,0.62,0.59,1.86,3.76,0.0
19,Eric García,es ESP,DF,23-121,25.6,1.95,1.33,1.21,0.63,0.12,1.25,0.7,0.55,1.05,3.01,2.7,0.08
20,David López,es ESP,DF,34-213,19.3,1.61,1.04,1.04,0.57,0.0,1.24,0.83,0.41,0.93,2.54,3.06,0.21
21,Arnau Martinez,es ESP,DF,21-014,11.5,1.91,1.3,1.3,0.52,0.09,1.04,0.35,0.7,0.87,2.78,3.04,0.17
22,Juanpe,es ESP,DF,33-009,7.7,1.04,0.78,0.91,0.13,0.0,2.21,1.43,0.78,0.91,1.95,6.23,0.13
23,Antal Yaakobishvili,hu HUN,DF,19-302,0.7,2.86,1.43,1.43,1.43,0.0,0.0,0.0,0.0,4.29,7.14,4.29,0.0
24,Bernardo Espinosa,co COL,DF,34-303,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
25,Axel Witsel,be BEL,DF,35-118,27.9,1.11,0.68,0.68,0.43,0.0,1.43,0.75,0.68,0.54,1.65,3.73,0.0
26,Mario Hermoso,es ESP,DF,28-326,25.2,1.67,0.91,0.99,0.52,0.16,0.95,0.32,0.63,1.15,2.82,3.25,0.0
27,Nahuel Molina,ar ARG,DF,26-033,20.6,1.84,1.07,0.78,0.87,0.19,0.92,0.15,0.78,0.44,2.28,1.75,0.05
28,Stefan Savić,me MNE,DF,33-122,16.5,1.58,1.09,0.91,0.42,0.24,1.64,0.85,0.79,1.58,3.15,3.39,0.06
29,José María Giménez,uy URU,DF,29-110,12.7,1.18,0.63,0.55,0.55,0.08,0.79,0.63,0.16,0.71,1.89,5.83,0.0
30,César Azpilicueta,es ESP,DF,34-255,12.7,1.81,1.1,1.02,0.71,0.08,1.57,0.31,1.26,1.02,2.83,3.15,0.0
31,Reinildo Mandava,mz MOZ,DF,30-109,7.5,3.87,2.8,2.0,1.47,0.4,1.33,0.27,1.07,1.87,5.73,2.8,0.0
32,Gabriel Paulista,br BRA,DF,33-165,4.0,1.5,1.0,0.75,0.75,0.0,1.25,0.75,0.5,1.0,2.5,5.5,0.0
33,Yannick Carrasco,be BEL,DF,30-248,2.5,1.6,1.6,1.2,0.4,0.0,0.8,0.0,0.8,0.4,2.0,2.4,0.0
34,Çağlar Söyüncü,tr TUR,DF,27-352,1.3,0.77,0.77,0.77,0.0,0.0,0.77,0.0,0.77,0.77,1.54,5.38,0.0
35,Javi Galán,es ESP,DF,29-172,1.0,5.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,6.0,3.0,0.0
36,Daniel Vivian,es ESP,DF,24-299,29.5,1.19,0.81,0.88,0.24,0.07,1.59,0.78,0.81,0.95,2.14,3.15,0.0
37,Aitor Paredes,es ESP,DF,24-010,28.0,0.64,0.36,0.32,0.32,0.0,0.75,0.36,0.39,1.07,1.71,3.32,0.0
38,Óscar de Marcos,es ESP,DF,35-025,23.1,2.34,1.6,1.08,1.0,0.26,1.13,0.22,0.91,0.61,2.94,1.77,0.0
39,Iñigo Lekue,es ESP,DF,31-005,19.2,1.77,0.89,1.04,0.52,0.21,1.09,0.21,0.89,0.68,2.45,2.4,0.0
40,Yuri Berchiche,es ESP,DF,34-089,18.8,1.54,1.17,0.64,0.64,0.27,1.17,0.43,0.74,0.96,2.5,2.82,0.0
41,Yeray Álvarez,es ESP,DF,29-106,10.3,1.17,0.68,0.97,0.19,0.0,0.58,0.39,0.19,1.07,2.23,2.72,0.1
42,Imanol,es ESP,DF,23-336,4.5,1.11,0.89,0.0,0.89,0.22,1.33,0.0,1.33,1.33,2.44,2.44,0.0
43,Igor Zubeldia,es ESP,DF,27-040,28.0,1.14,0.89,0.71,0.36,0.07,1.0,0.68,0.32,1.14,2.29,3.46,0.11
44,Robin Le Normand,es ESP,DF,27-180,25.4,1.14,0.83,0.63,0.51,0.0,0.98,0.55,0.43,1.06,2.2,3.54,0.04
45,Hamari Traoré,ml MLI,DF,32-103,22.6,1.73,0.8,0.97,0.66,0.09,0.93,0.22,0.71,0.93,2.65,2.21,0.09
46,Jon Pacheco,es ESP,DF,23-122,13.2,1.36,0.68,1.21,0.15,0.0,1.14,0.45,0.68,0.45,1.82,3.03,0.08
47,Javi Galán,es ESP,DF,29-172,10.9,3.12,1.83,1.19,1.56,0.37,2.02,0.09,1.93,1.1,4.22,1.28,0.09
48,Aihen Muñoz,es ESP,DF,26-267,12.5,2.88,1.68,1.6,0.8,0.48,1.28,0.64,0.64,0.72,3.6,2.64,0.0
49,Kieran Tierney,sct SCO,DF,26-339,11.0,2.91,1.82,1.27,1.55,0.09,1.73,0.55,1.18,0.91,3.82,3.0,0.0
50,Álvaro Odriozola,es ESP,DF,28-147,3.4,1.76,1.18,1.47,0.29,0.0,0.59,0.29,0.29,2.06,3.82,2.06,0.0
51,Aritz Elustondo,es ESP,DF,30-042,6.0,1.0,0.67,0.17,0.67,0.17,1.17,1.0,0.17,1.0,2.0,2.83,0.0
52,Jon Aramburu,ve VEN,DF,21-291,4.9,2.86,1.84,1.63,0.82,0.41,1.22,0.61,0.61,1.02,3.88,3.06,0.0
53,Germán Pezzella,ar ARG,DF,32-317,30.7,1.11,0.78,0.78,0.33,0.00,1.01,0.59,0.42,1.01,2.12,4.89,0.00
54,Chadi Riad,ma MAR,DF,20-327,21.0,1.43,1.00,0.76,0.67,0.00,0.86,0.52,0.33,0.86,2.29,4.67,0.00
55,Héctor Bellerín,es ESP,DF,29-051,17.2,1.69,1.10,0.64,0.81,0.23,0.70,0.29,0.41,1.16,2.85,2.21,0.06
56,Juan Miranda,es ESP,DF,24-111,17.7,1.86,1.13,1.07,0.56,0.23,1.47,0.28,1.19,1.02,2.88,3.45,0.00
57,Abner,br BRA,DF,23-348,14.5,1.66,1.31,0.97,0.62,0.07,1.52,0.34,1.17,1.03,2.69,4.00,0.00
58,Youssouf Sabaly,sn SEN,DF,31-065,9.0,1.22,0.89,0.78,0.33,0.11,0.67,0.33,0.33,1.11,2.33,2.78,0.00
59,Sokratis Papastathopoulos,gr GRE,DF,35-335,8.6,1.28,0.58,0.81,0.47,0.00,1.28,0.81,0.47,0.70,1.98,5.70,0.00
60,Luiz Felipe,it ITA,DF,27-048,4.0,1.75,0.75,1.25,0.50,0.00,2.50,1.00,1.50,1.00,2.75,4.00,0.00
61,Marc Bartra,es ESP,DF,33-115,2.5,1.60,1.20,1.20,0.40,0.00,1.20,0.40,0.80,1.20,2.80,4.00,0.00
62,Ricardo Visus,es ESP,DF,23-015,0.8,,0.00,,,,,,,1.25,,,
63,Pablo Busto,es ESP,DF,18-237,0.5,2.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,4.00,6.00,0.00
64,Cristhian Mosquera,co COL,DF,19-317,30.2,1.49,0.96,0.86,0.53,0.1,1.23,0.6,0.63,1.13,2.62,4.14,0.07
65,Thierry Correia,pt POR,DF,25-061,21.1,2.65,1.56,1.71,0.81,0.14,1.52,0.62,0.9,1.56,4.22,2.65,0.0
66,José Luis Gayà,es ESP,DF,28-350,19.4,3.61,1.86,2.27,1.13,0.21,0.88,0.15,0.72,0.52,4.12,2.16,0.0
