,Player,Pos,Tackles,TacklesWon,TacklesDef1/3,TacklesMid1/3,Blocks,ShotsBlocked,Interceptions,Tkl+Int,Clearances,ErrorsToShot,Season
0,Kyle Walker,DF,1.21,0.77,0.61,0.54,0.64,0.2,0.77,1.99,1.25,0.03,2024
1,Rúben Dias,DF,1.39,0.69,0.51,0.73,1.13,0.62,1.09,2.48,2.81,0.0,2024
2,Manuel Akanji,"DF,MF",1.51,1.0,0.59,0.63,1.03,0.44,0.85,2.36,2.55,0.11,2024
3,Joško Gvardiol,DF,2.01,1.29,0.76,0.92,1.45,0.48,1.04,3.05,1.49,0.12,2024
4,Nathan Aké,DF,1.16,0.71,0.67,0.36,0.76,0.09,0.62,1.78,2.4,0.0,2024
5,John Stones,"DF,MF",0.17,0.08,0.08,0.0,0.93,0.59,0.85,1.02,1.78,0.0,2024
6,Rico Lewis,"DF,MF",1.11,0.78,0.44,0.44,0.78,0.11,0.44,1.56,0.67,0.0,2024
7,William Saliba,DF,1.08,0.68,0.73,0.32,0.86,0.46,0.78,1.86,2.19,0.08,2024
8,Ben White,DF,1.48,0.86,0.62,0.68,1.42,0.68,0.96,2.44,2.38,0.03,2024
9,Gabriel Magalhães,DF,1.42,0.81,0.69,0.66,1.27,0.96,0.9,2.32,3.01,0.03,2024
10,Oleksandr Zinchenko,DF,2.66,1.6,1.01,1.28,0.96,0.16,1.06,3.72,1.38,0.11,2024
11,Jakub Kiwior,DF,1.9,1.14,1.05,0.76,1.05,0.29,0.76,2.67,2.67,0.1,2024
12,Takehiro Tomiyasu,DF,1.69,0.76,1.27,0.34,0.68,0.34,1.36,3.05,2.63,0.0,2024
13,Thomas Partey,"MF,DF",1.75,1.38,1.13,0.5,0.88,0.38,1.38,3.13,0.88,0.0,2024
14,Virgil van Dijk,DF,1.17,0.67,0.7,0.38,1.34,0.96,1.05,2.22,4.17,0.0,2024
15,Trent Alexander-Arnold,DF,1.55,1.03,1.03,0.47,0.91,0.09,1.29,2.84,2.07,0.22,2024
16,Joe Gomez,DF,2.37,1.57,1.21,0.81,1.31,0.2,0.96,3.33,2.53,0.1,2024
17,Andrew Robertson,DF,1.91,1.35,1.18,0.62,1.07,0.34,0.73,2.64,2.25,0.0,2024
18,Ibrahima Konaté,DF,2.06,1.26,1.26,0.74,1.03,0.69,1.14,3.2,2.91,0.06,2024
19,Jarell Quansah,DF,1.8,1.64,1.23,0.49,1.23,0.57,1.23,3.03,2.95,0.08,2024
20,Conor Bradley,DF,3.95,2.96,1.6,1.48,2.1,0.12,1.23,5.19,1.73,0.0,2024
21,Joël Matip,DF,1.38,0.69,0.8,0.46,1.84,1.38,1.03,2.41,4.94,0.0,2024
22,Kostas Tsimikas,DF,2.53,1.73,1.2,0.8,1.2,0.13,0.8,3.33,1.33,0.0,2024
23,Ezri Konsa,DF,1.6,0.97,0.85,0.66,1.09,0.6,0.85,2.45,2.15,0.09,2024
24,Pau Torres,DF,1.06,0.66,0.62,0.4,1.02,0.44,0.51,1.57,2.74,0.0,2024
25,Lucas Digne,DF,1.67,0.7,1.2,0.35,0.74,0.08,1.01,2.67,2.33,0.0,2024
26,Matty Cash,DF,2.27,1.3,1.01,1.01,1.47,0.59,0.76,3.03,2.48,0.0,2024
27,Diego Carlos,DF,1.41,0.83,1.15,0.21,1.15,0.89,0.68,2.08,3.85,0.16,2024
28,Clément Lenglet,DF,1.1,0.76,0.59,0.42,1.53,0.85,0.51,1.61,3.98,0.08,2024
29,Álex Moreno,DF,1.57,1.04,1.57,0.0,0.96,0.17,1.13,2.7,3.22,0.0,2024
30,Pedro Porro,DF,2.69,1.88,1.28,0.99,1.85,0.51,0.99,3.67,2.99,0.09,2024
31,Cristian Romero,DF,2.13,1.3,1.1,0.83,1.53,0.73,1.4,3.53,3.43,0.03,2024
32,Destiny Udogie,DF,2.56,1.24,1.54,0.6,1.02,0.3,1.39,3.95,3.01,0.19,2024
33,Micky van de Ven,DF,1.92,1.36,1.36,0.44,0.92,0.6,0.68,2.6,3.12,0.04,2024
34,Ben Davies,DF,1.98,1.4,1.07,0.66,1.4,1.24,0.83,2.81,2.89,0.0,2024
35,Emerson,DF,2.83,1.89,1.81,0.79,1.81,0.79,1.57,4.41,3.94,0.08,2024
36,Oliver Skipp,"MF,DF",2.21,1.43,1.17,0.65,1.56,0.13,0.39,2.6,1.17,0.0,2024
37,Radu Drăgușin,DF,1.32,0.79,1.32,0.0,1.32,1.05,1.58,2.89,3.68,0.0,2024
