,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err
0,William Saliba,fr FRA,DF,23-045,36.0,1.0,0.61,0.67,0.31,0.03,0.83,0.44,0.39,0.81,1.81,2.08,0.08
1,Ben White,eng ENG,DF,26-213,31.4,1.46,0.86,0.57,0.7,0.19,1.34,0.64,0.7,0.92,2.39,2.42,0.03
2,Gabriel Magalhães,br BRA,DF,26-141,32.2,1.43,0.81,0.71,0.68,0.03,1.24,0.93,0.31,0.93,2.36,3.04,0.03
3,Oleksandr Zinchenko,ua UKR,DF,27-145,18.8,2.66,1.6,1.01,1.28,0.37,0.96,0.16,0.8,1.06,3.72,1.38,0.11
4,Jakub Kiwior,pl POL,DF,24-083,10.5,1.9,1.14,1.05,0.76,0.1,1.05,0.29,0.76,0.76,2.67,2.67,0.1
5,Takehiro Tomiyasu,jp JPN,DF,25-185,10.8,1.57,0.74,1.2,0.28,0.09,0.74,0.37,0.37,1.48,3.06,2.69,0.0
6,Jurriën Timber,nl NED,DF,22-326,0.5,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
7,Cédric Soares,pt POR,DF,32-251,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Kyle Walker,eng ENG,DF,33-346,28.0,1.18,0.75,0.57,0.54,0.07,0.64,0.21,0.43,0.82,2.0,1.29,0.04
9,Rúben Dias,pt POR,DF,26-360,25.4,1.42,0.71,0.51,0.79,0.12,1.18,0.63,0.55,0.98,2.4,2.87,0.0
10,Joško Gvardiol,hr CRO,DF,22-106,22.9,2.05,1.31,0.74,0.96,0.35,1.31,0.52,0.79,1.0,3.06,1.48,0.13
11,Nathan Aké,nl NED,DF,29-080,22.2,1.17,0.72,0.68,0.36,0.14,0.72,0.09,0.63,0.59,1.76,2.39,0.0
12,Aymeric Laporte,es ESP,DF,29-347,0.1,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0
13,Virgil van Dijk,nl NED,DF,32-305,33.3,1.17,0.66,0.69,0.39,0.09,1.29,0.93,0.36,1.08,2.25,4.11,0.0
14,Trent Alexander-Arnold,eng ENG,DF,25-214,22.2,1.58,1.04,1.04,0.5,0.05,0.9,0.09,0.81,1.26,2.84,2.07,0.18
