,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err
0,William Saliba,fr FRA,DF,23-044,36.0,36.0,22,24.0,11.0,1.0,30.0,16.0,14.0,29,65.0,75.0,3.0
1,Ben White,eng ENG,DF,26-212,31.4,46.0,27,18.0,22.0,6.0,42.0,20.0,22.0,29,75.0,76.0,1.0
2,Gabriel Magalhães,br BRA,DF,26-140,32.2,46.0,26,23.0,22.0,1.0,40.0,30.0,10.0,30,76.0,98.0,1.0
3,Oleksandr Zinchenko,ua UKR,DF,27-144,18.8,50.0,30,19.0,24.0,7.0,18.0,3.0,15.0,20,70.0,26.0,2.0
4,Jakub Kiwior,pl POL,DF,24-082,10.5,20.0,12,11.0,8.0,1.0,11.0,3.0,8.0,8,28.0,28.0,1.0
5,Takehiro Tomiyasu,jp JPN,DF,25-184,10.8,17.0,8,13.0,3.0,1.0,8.0,4.0,4.0,16,33.0,29.0,0.0
6,Jurriën Timber,nl NED,DF,22-325,0.5,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0
7,Cédric Soares,pt POR,DF,32-250,0.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
8,Kyle Walker,eng ENG,DF,33-345,28.0,33.0,21,16.0,15.0,2.0,18.0,6.0,12.0,23,56.0,36.0,1.0
9,Rúben Dias,pt POR,DF,26-359,25.4,36.0,18,13.0,20.0,3.0,30.0,16.0,14.0,25,61.0,73.0,0.0
10,Joško Gvardiol,hr CRO,DF,22-105,22.9,47.0,30,17.0,22.0,8.0,30.0,12.0,18.0,23,70.0,34.0,3.0
11,Nathan Aké,nl NED,DF,29-079,22.2,26.0,16,15.0,8.0,3.0,16.0,2.0,14.0,13,39.0,53.0,0.0
12,Aymeric Laporte,es ESP,DF,29-346,0.1,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,1.0,0.0
13,Virgil van Dijk,nl NED,DF,32-304,33.3,39.0,22,23.0,13.0,3.0,43.0,31.0,12.0,36,75.0,137.0,0.0
14,Trent Alexander-Arnold,eng ENG,DF,25-213,22.2,35.0,23,23.0,11.0,1.0,20.0,2.0,18.0,28,63.0,46.0,4.0
15,Andrew Robertson,sct SCO,DF,30-057,17.8,34.0,24,21.0,11.0,2.0,19.0,6.0,13.0,13,47.0,40.0,0.0
16,Ibrahima Konaté,fr FRA,DF,24-348,17.5,36.0,22,22.0,13.0,1.0,18.0,12.0,6.0,20,56.0,51.0,1.0
17,Joe Gomez,eng ENG,DF,26-350,18.8,45.0,29,24.0,14.0,7.0,26.0,4.0,22.0,18,63.0,49.0,2.0
18,Jarell Quansah,eng ENG,DF,21-099,11.2,19.0,17,13.0,5.0,1.0,11.0,3.0,8.0,13,32.0,32.0,1.0
19,Conor Bradley,nir NIR,DF,20-303,8.1,32.0,24,13.0,12.0,7.0,17.0,1.0,16.0,10,42.0,14.0,0.0
20,Joël Matip,cm CMR,DF,32-273,8.7,12.0,6,7.0,4.0,1.0,16.0,12.0,4.0,9,21.0,43.0,0.0
21,Kostas Tsimikas,gr GRE,DF,27-361,7.5,19.0,13,9.0,6.0,4.0,9.0,1.0,8.0,6,25.0,10.0,0.0
22,Owen Beck,wls WAL,DF,21-272,0.1,2.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0,2.0,1.0,0.0
23,Ezri Konsa,eng ENG,DF,26-197,32.1,47.0,29,27.0,17.0,3.0,36.0,20.0,16.0,27,74.0,70.0,3.0
24,Pau Torres,es ESP,DF,27-112,26.4,28.0,17,17.0,10.0,1.0,25.0,11.0,14.0,14,42.0,71.0,0.0
25,Lucas Digne,fr FRA,DF,30-292,24.8,42.0,18,31.0,9.0,2.0,18.0,2.0,16.0,25,67.0,57.0,0.0
26,Matty Cash,pl POL,DF,26-274,23.8,54.0,31,24.0,24.0,6.0,35.0,14.0,21.0,18,72.0,59.0,0.0
27,Diego Carlos,br BRA,DF,31-053,18.2,27.0,16,22.0,4.0,1.0,21.0,16.0,5.0,13,40.0,71.0,3.0
28,Clément Lenglet,fr FRA,DF,28-325,11.8,13.0,9,7.0,5.0,1.0,18.0,10.0,8.0,6,19.0,47.0,1.0
29,Álex Moreno,es ESP,DF,30-334,11.5,18.0,12,18.0,0.0,0.0,11.0,2.0,9.0,13,31.0,37.0,0.0
30,Tyrone Mings,eng ENG,DF,31-055,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0
31,Kaine Kesler-Hayden,eng ENG,DF,21-197,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
