,Player,Nation,Position,Age,90s,Goals,Shots,SOT,SOT%,Sh/90,SOT/90,G/Sh,G/SOT,Dist,FK,PK,PKatt,xG,npxG,npXg/Sh,G-xG,np:g-xG,Season
0,Son Heung-min,kr KOR,FW,31-307,29.6,0.57,2.47,1.11,45.2,2.46,1.11,0.21,0.45,15.2,0.0,0.07,0.07,0.36,0.31,0.13,0.21,0.2,2024
1,Dejan Kulusevski,se SWE,"FW,MF",24-015,28.5,0.21,1.68,0.6,35.4,1.69,0.6,0.13,0.35,16.0,0.0,0.0,0.0,0.13,0.13,0.08,0.08,0.08,2024
2,Brennan Johnson,wls WAL,FW,22-353,20.2,0.25,2.23,0.89,40.0,2.23,0.89,0.11,0.28,13.4,0.0,0.0,0.0,0.41,0.41,0.18,-0.16,-0.16,2024
3,Richarlison,br BRA,FW,27-000,16.6,0.66,3.73,1.51,40.3,3.74,1.51,0.18,0.44,12.9,0.0,0.0,0.0,0.58,0.58,0.15,0.08,0.08,2024
4,Timo Werner,de GER,FW,28-065,9.0,0.22,3.22,0.78,24.1,3.23,0.78,0.07,0.29,14.1,0.0,0.0,0.0,0.41,0.41,0.13,-0.19,-0.19,2024
5,Oliver Skipp,eng ENG,"MF,FW",23-237,6.8,0.0,0.44,0.15,33.3,0.44,0.15,0.0,0.0,12.6,0.0,0.0,0.0,0.09,0.09,0.2,-0.09,-0.09,2024
6,Bryan Gil,es ESP,"FW,MF",23-089,2.3,0.0,1.74,0.43,25.0,1.72,0.43,0.0,0.0,13.9,0.0,0.0,0.0,0.35,0.35,0.19,-0.35,-0.35,2024
7,Manor Solomon,il ISR,FW,24-291,2.2,0.0,3.18,0.45,14.3,3.17,0.45,0.0,0.0,16.8,0.0,0.0,0.0,0.18,0.18,0.06,-0.18,-0.18,2024
8,Ivan Perišić,hr CRO,FW,35-098,1.1,0.0,1.82,0.0,0.0,1.75,0.0,0.0,,13.0,0.0,0.0,0.0,0.09,0.09,0.06,-0.09,-0.09,2024
9,Alejo Véliz,ar ARG,FW,20-234,0.6,1.67,3.33,1.67,50.0,3.6,1.8,0.5,1.0,8.9,0.0,0.0,0.0,0.33,0.33,0.12,1.33,1.33,2024
10,Jamie Donley,eng ENG,FW,19-128,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2024
11,Dane Scarlett,eng ENG,FW,20-047,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2024
12,Harry Kane,eng ENG,FW,29.0,37.8,0.79,3.28,1.43,43.5,3.28,1.43,0.2,0.46,16.0,0.11,0.13,0.16,0.57,0.44,0.13,0.23,0.22,2023
13,Son Heung-min,kr KOR,"MF,FW",30.0,32.1,0.31,2.52,1.18,46.9,2.52,1.18,0.12,0.26,18.3,0.16,0.0,0.0,0.31,0.31,0.12,-0.0,-0.0,2023
14,Dejan Kulusevski,se SWE,"MF,FW",22.0,23.0,0.09,1.87,0.43,23.3,1.87,0.44,0.05,0.2,17.6,0.0,0.0,0.0,0.11,0.11,0.06,-0.02,-0.02,2023
15,Richarlison,br BRA,"MF,FW",25.0,11.2,0.09,2.41,1.25,51.9,2.41,1.25,0.04,0.07,12.6,0.0,0.0,0.0,0.29,0.29,0.12,-0.21,-0.21,2023
16,Pape Matar Sarr,sn SEN,"MF,FW",19.0,2.4,0.0,0.83,0.0,0.0,0.83,0.0,0.0,,27.3,0.0,0.0,0.0,0.04,0.04,0.03,-0.04,-0.04,2023
17,Bryan Gil,es ESP,"MF,FW",21.0,1.6,0.0,1.25,0.63,50.0,1.22,0.61,0.0,0.0,19.4,0.0,0.0,0.0,0.06,0.06,0.05,-0.06,-0.06,2023
18,Arnaut Danjuma,nl NED,"FW,MF",25.0,1.9,0.53,3.16,1.58,50.0,3.2,1.6,0.17,0.33,14.2,0.0,0.0,0.0,0.42,0.42,0.14,0.11,0.11,2023
19,Djed Spence,eng ENG,"FW,DF",21.0,0.1,0.0,10.0,0.0,0.0,12.86,0.0,0.0,,8.9,0.0,0.0,0.0,1.0,1.0,0.06,-1.0,-1.0,2023
