,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err
0,William Saliba,fr FRA,DF,23-044,36.0,36.0,22,24.0,11.0,1.0,30.0,16.0,14.0,29,65.0,75.0,3.0
1,Declan Rice,eng ENG,MF,25-114,33.8,79.0,48,37.0,35.0,7.0,35.0,10.0,25.0,43,122.0,52.0,0.0
2,Bukayo Saka,eng ENG,FW,22-245,31.5,64.0,34,21.0,23.0,20.0,42.0,2.0,40.0,14,78.0,22.0,1.0
3,Martin Ødegaard,no NOR,MF,25-142,32.4,46.0,16,15.0,21.0,10.0,22.0,1.0,21.0,13,59.0,5.0,0.0
4,Ben White,eng ENG,DF,26-212,31.4,46.0,27,18.0,22.0,6.0,42.0,20.0,22.0,29,75.0,76.0,1.0
5,Gabriel Magalhães,br BRA,DF,26-140,32.2,46.0,26,23.0,22.0,1.0,40.0,30.0,10.0,30,76.0,98.0,1.0
6,David Raya,es ESP,GK,28-235,30.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,7.0,5.0
7,Kai Havertz,de GER,"MF,FW",24-331,27.3,32.0,15,5.0,20.0,7.0,26.0,1.0,25.0,18,50.0,21.0,0.0
8,Gabriel Martinelli,br BRA,FW,22-324,21.2,28.0,23,9.0,10.0,9.0,20.0,1.0,19.0,5,33.0,8.0,1.0
9,Oleksandr Zinchenko,ua UKR,DF,27-144,18.8,50.0,30,19.0,24.0,7.0,18.0,3.0,15.0,20,70.0,26.0,2.0
10,Gabriel Jesus,br BRA,FW,27-034,16.2,23.0,16,11.0,5.0,7.0,23.0,1.0,22.0,12,35.0,12.0,0.0
11,Leandro Trossard,be BEL,"FW,MF",29-155,16.7,24.0,16,8.0,8.0,8.0,22.0,1.0,21.0,6,30.0,6.0,0.0
12,Jakub Kiwior,pl POL,DF,24-082,10.5,20.0,12,11.0,8.0,1.0,11.0,3.0,8.0,8,28.0,28.0,1.0
13,Eddie Nketiah,eng ENG,FW,24-343,12.0,12.0,7,2.0,6.0,4.0,11.0,0.0,11.0,4,16.0,4.0,0.0
14,Jorginho,it ITA,MF,32-139,10.2,24.0,10,6.0,10.0,8.0,17.0,1.0,16.0,12,36.0,7.0,1.0
15,Takehiro Tomiyasu,jp JPN,DF,25-184,10.8,17.0,8,13.0,3.0,1.0,8.0,4.0,4.0,16,33.0,29.0,0.0
16,Thomas Partey,gh GHA,"MF,DF",30-329,7.0,12.0,10,8.0,3.0,1.0,6.0,3.0,3.0,10,22.0,6.0,0.0
17,Aaron Ramsdale,eng ENG,GK,25-359,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,2.0
18,Emile Smith Rowe,eng ENG,MF,23-284,3.7,4.0,1,2.0,2.0,0.0,3.0,1.0,2.0,3,7.0,1.0,0.0
19,Fabio Vieira,pt POR,"MF,FW",23-343,3.3,3.0,2,2.0,0.0,1.0,0.0,0.0,0.0,2,5.0,2.0,0.0
20,Reiss Nelson,eng ENG,FW,24-149,3.0,9.0,6,5.0,1.0,3.0,5.0,1.0,4.0,1,10.0,5.0,0.0
21,Jurriën Timber,nl NED,DF,22-325,0.5,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0
22,Cédric Soares,pt POR,DF,32-250,0.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
23,Mohamed Elneny,eg EGY,MF,31-301,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0
24,Ethan Nwaneri,eng ENG,FW,17-047,0.2,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0
25,Rodri,es ESP,MF,27-320,29.6,64.0,39,22.0,31.0,11.0,29.0,8.0,21.0,23,87.0,39.0,4.0
26,Julián Álvarez,ar ARG,"MF,FW",24-097,29.3,24.0,13,5.0,8.0,11.0,29.0,0.0,29.0,2,26.0,14.0,1.0
27,Ederson,br BRA,GK,30-264,29.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.0,1.0
28,Phil Foden,eng ENG,"FW,MF",23-345,28.9,29.0,18,11.0,9.0,9.0,23.0,0.0,23.0,13,42.0,17.0,1.0
29,Kyle Walker,eng ENG,DF,33-345,28.0,33.0,21,16.0,15.0,2.0,18.0,6.0,12.0,23,56.0,36.0,1.0
30,Bernardo Silva,pt POR,"MF,FW",29-271,25.6,48.0,23,13.0,23.0,12.0,22.0,3.0,19.0,16,64.0,12.0,1.0
